timestamp;form_id;question;answer
2026-02-25 10:51,a1b2c3d4,q1,Нет
2026-02-25 10:51,a1b2c3d4,q3,Да
2026-02-25 10:51,a1b2c3d4,q4,Да
2026-02-25 10:51,a1b2c3d4,q5,Да
2026-02-25 10:51,a1b2c3d4,q6,Нет
2026-02-25 10:51,a1b2c3d4,q8,Да
2026-02-25 10:51,a1b2c3d4,q9,Да
2026-02-25 10:51,a1b2c3d4,q10,Да
2026-02-25 10:51,a1b2c3d4,q11,Да
2026-02-25 10:51,a1b2c3d4,q12,Да
2026-02-25 10:51,a1b2c3d4,q13,Да
2026-02-25 10:51,a1b2c3d4,q14,Да
2026-02-25 10:51,a1b2c3d4,q15,
2026-02-25 10:51,a1b2c3d4,q16,Женский
2026-02-25 10:51,a1b2c3d4,q17,41–60
2026-02-25 11:47,a1b2c3d4,q1,Нет
2026-02-25 11:47,a1b2c3d4,q3,Да
2026-02-25 11:47,a1b2c3d4,q4,Да
2026-02-25 11:47,a1b2c3d4,q5,Да
2026-02-25 11:47,a1b2c3d4,q6,Да
2026-02-25 11:47,a1b2c3d4,q7,Да
2026-02-25 11:47,a1b2c3d4,q8,Нет
2026-02-25 11:47,a1b2c3d4,q9,Да
2026-02-25 11:47,a1b2c3d4,q10,Да
2026-02-25 11:47,a1b2c3d4,q11,Нет
2026-02-25 11:47,a1b2c3d4,q12,Да
2026-02-25 11:47,a1b2c3d4,q13,Да
2026-02-25 11:47,a1b2c3d4,q14,Нет
2026-02-25 11:47,a1b2c3d4,q15,
2026-02-25 11:47,a1b2c3d4,q16,Женский
2026-02-25 11:47,a1b2c3d4,q17,младше 20
2026-02-25 11:47,a1b2c3d4,q1,Да
2026-02-25 11:47,a1b2c3d4,q2,Да
2026-02-25 11:47,a1b2c3d4,q3,Да
2026-02-25 11:47,a1b2c3d4,q4,Да
2026-02-25 11:47,a1b2c3d4,q5,Да
2026-02-25 11:47,a1b2c3d4,q6,Да
2026-02-25 11:47,a1b2c3d4,q7,Нет
2026-02-25 11:47,a1b2c3d4,q8,Да
2026-02-25 11:47,a1b2c3d4,q9,Да
2026-02-25 11:47,a1b2c3d4,q10,Да
2026-02-25 11:47,a1b2c3d4,q11,Да
2026-02-25 11:47,a1b2c3d4,q12,Да
2026-02-25 11:47,a1b2c3d4,q13,Да
2026-02-25 11:47,a1b2c3d4,q14,Да
2026-02-25 11:47,a1b2c3d4,q15,nj
2026-02-25 11:47,a1b2c3d4,q16,Мужской
2026-02-25 11:47,a1b2c3d4,q17,старше 60
2026-02-25 11:55,a1b2c3d4,q1,Нет
2026-02-25 11:55,a1b2c3d4,q3,Да
2026-02-25 11:55,a1b2c3d4,q4,Нет
2026-02-25 11:55,a1b2c3d4,q5,Да
2026-02-25 11:55,a1b2c3d4,q6,Нет
2026-02-25 11:55,a1b2c3d4,q8,Да
2026-02-25 11:55,a1b2c3d4,q9,Да
2026-02-25 11:55,a1b2c3d4,q10,Да
2026-02-25 11:55,a1b2c3d4,q11,Да
2026-02-25 11:55,a1b2c3d4,q12,Да
2026-02-25 11:55,a1b2c3d4,q13,Да
2026-02-25 11:55,a1b2c3d4,q14,Да
2026-02-25 11:55,a1b2c3d4,q15,
2026-02-25 11:55,a1b2c3d4,q16,Женский
2026-02-25 11:55,a1b2c3d4,q17,21–40

2026-02-25 12:44,i9j0k1l2,q1,Да
2026-02-25 12:44,i9j0k1l2,q2,Да
2026-02-25 12:44,i9j0k1l2,q3,Нет
2026-02-25 12:44,i9j0k1l2,q5,Да
2026-02-25 12:44,i9j0k1l2,q6,Да
2026-02-25 12:44,i9j0k1l2,q7,Да
2026-02-25 12:44,i9j0k1l2,q8,Да
2026-02-25 12:44,i9j0k1l2,q9,Да
2026-02-25 12:44,i9j0k1l2,q10,Нет
2026-02-25 12:44,i9j0k1l2,q12,Да
2026-02-25 12:44,i9j0k1l2,q13,Да
2026-02-25 12:44,i9j0k1l2,q14,Да
2026-02-25 12:44,i9j0k1l2,q15,
2026-02-25 12:44,i9j0k1l2,q16,Женский
2026-02-25 12:44,i9j0k1l2,q17,21–40
2026-02-25 18:31,a1b2c3d4,q1,Нет
2026-02-25 18:31,a1b2c3d4,q3,Да
2026-02-25 18:31,a1b2c3d4,q4,Да
2026-02-25 18:31,a1b2c3d4,q5,Да
2026-02-25 18:31,a1b2c3d4,q6,Да
2026-02-25 18:31,a1b2c3d4,q7,Да
2026-02-25 18:31,a1b2c3d4,q8,Да
2026-02-25 18:31,a1b2c3d4,q9,Да
2026-02-25 18:31,a1b2c3d4,q10,Нет
2026-02-25 18:31,a1b2c3d4,q12,Да
2026-02-25 18:31,a1b2c3d4,q13,Да
2026-02-25 18:31,a1b2c3d4,q14,Да
2026-02-25 18:31,a1b2c3d4,q15,
2026-02-25 18:31,a1b2c3d4,q16,Женский
2026-02-25 18:31,a1b2c3d4,q17,старше 60
2026-02-25 18:32,i9j0k1l2,q1,Да
2026-02-25 18:32,i9j0k1l2,q2,Да
2026-02-25 18:32,i9j0k1l2,q3,Да
2026-02-25 18:32,i9j0k1l2,q4,Да
2026-02-25 18:32,i9j0k1l2,q5,Да
2026-02-25 18:32,i9j0k1l2,q6,Нет
2026-02-25 18:32,i9j0k1l2,q8,Да
2026-02-25 18:32,i9j0k1l2,q9,Да
2026-02-25 18:32,i9j0k1l2,q10,Нет
2026-02-25 18:32,i9j0k1l2,q12,Да
2026-02-25 18:32,i9j0k1l2,q13,Да
2026-02-25 18:32,i9j0k1l2,q14,Да
2026-02-25 18:32,i9j0k1l2,q15,
2026-02-25 18:32,i9j0k1l2,q16,Женский
2026-02-25 18:32,i9j0k1l2,q17,младше 20
2026-02-25 20:46,i9j0k1l2,q1,Да
2026-02-25 20:46,i9j0k1l2,q2,Да
2026-02-25 20:46,i9j0k1l2,q3,Да
2026-02-25 20:46,i9j0k1l2,q4,Да
2026-02-25 20:46,i9j0k1l2,q5,Да
2026-02-25 20:46,i9j0k1l2,q6,Да
2026-02-25 20:46,i9j0k1l2,q7,Да
2026-02-25 20:46,i9j0k1l2,q8,Да
2026-02-25 20:46,i9j0k1l2,q9,Да
2026-02-25 20:46,i9j0k1l2,q10,Да
2026-02-25 20:46,i9j0k1l2,q11,Да
2026-02-25 20:46,i9j0k1l2,q12,Да
2026-02-25 20:46,i9j0k1l2,q13,Да
2026-02-25 20:46,i9j0k1l2,q14,Да
2026-02-25 20:46,i9j0k1l2,q15,
2026-02-25 20:46,i9j0k1l2,q16,Женский
2026-02-25 20:46,i9j0k1l2,q17,21–40
